Price,Close,High,Low,Open,Volume
Ticker,XLV,XLV,XLV,XLV,XLV
Date,,,,,
2004-05-07,21.485803604125977,21.741752268061003,21.485803604125977,21.61723677314188,372800
2004-05-10,21.209108352661133,21.47197475409274,21.0707574761801,21.27136611513642,375500
2004-05-11,21.229854583740234,21.27135930563313,21.126092119302335,21.27135930563313,178700
2004-05-12,21.30594825744629,21.333618954121196,20.93932076238384,21.236774154581898,465300
2004-05-13,21.278274536132812,21.36128397038793,21.18142975636479,21.271356863376358,219500
2004-05-14,21.23677635192871,21.45121899570164,21.105343167946526,21.305950461950474,107600
2004-05-17,21.17452049255371,21.28520066178858,21.03616962130428,21.20218987515658,2092100
2004-05-18,21.167598724365234,21.264443523868202,21.105340976281486,21.174516398531367,302400
2004-05-19,20.96006965637207,21.278276028429715,20.96006965637207,21.271358355188106,1147700
2004-05-20,20.821727752685547,21.02925274806507,20.77330534172444,21.02925274806507,79700
2004-05-21,20.86322784423828,20.960072644605223,20.787134747143426,20.960072644605223,73100
2004-05-24,20.759464263916016,20.960071528192646,20.697206518592935,20.925484478307105,183600
2004-05-25,20.96006965637207,21.04999808910171,20.662617623450508,20.752544736768886,346900
2004-05-26,21.070741653442383,21.119165347435963,20.960061563135707,20.960061563135707,518600
2004-05-27,21.28519630432129,21.32670102943467,21.091505388106476,21.167598483657194,443000
2004-05-28,21.278274536132812,21.340532271529735,21.19526378246653,21.340532271529735,228200
2004-06-01,21.38895606994629,21.4027914163703,21.222935871091913,21.278275937376705,472600
2004-06-02,21.520395278930664,21.56881768563163,21.395879764892968,21.513477603771722,139800
2004-06-03,21.465051651000977,21.617236521121566,21.437380954936465,21.513474049702463,119600
2004-06-04,21.506555557250977,21.65182274782727,21.471968507897962,21.65182274782727,352800
2004-06-07,21.721004486083984,21.721004486083984,21.541148874410908,21.721004486083984,245300
2004-06-08,21.748666763305664,21.748666763305664,21.624151286586105,21.651820659517547,238100
2004-06-09,21.492713928222656,21.74866250462932,21.492713928222656,21.74866250462932,108300
2004-06-10,21.49964141845703,21.582652197728756,21.46505436341723,21.582652197728756,124700
2004-06-14,21.347454071044922,21.458134217721863,21.305948026482504,21.437381195440654,131300
2004-06-15,21.375123977661133,21.47888645281546,21.312866228686246,21.47888645281546,175400
2004-06-16,21.38204574584961,21.458138857924,21.326705660544153,21.444303506744706,821900
2004-06-17,21.416635513305664,21.416635513305664,21.264450589319225,21.38204845039434,267900
2004-06-18,21.406917572021484,21.47628435914073,21.372232855375202,21.399980628692227,117000
2004-06-21,21.26124382019043,21.39998003676477,21.240434313864913,21.372232264215253,105200
2004-06-22,21.171070098876953,21.26124773007305,21.046207745615543,21.26124773007305,129800
2004-06-23,21.29593276977539,21.33061616927116,21.11557618160625,21.22656464769697,174000
2004-06-24,21.30286979675293,21.358365356546727,21.254312505020323,21.29593417486567,519000
2004-06-25,21.115570068359375,21.261241891771878,21.073948413310234,21.15719040032202,304200
2004-06-28,21.011516571044922,21.205745650386177,20.928274591979832,21.191871766694266,391700
2004-06-29,21.122512817382812,21.219627393020986,21.011524352914368,21.02539691865778,681300
