Date,Close,Mahadasha,Antardasha,SMI_Base,Tithi,Nakshatra,Nithya_Yoga,Aspect_Mars_Saturn,Aspect_Jup_Sun,Aspect_Rahu_Mars,Vedha_Score,Sun_Deg,Sun_Speed,Moon_Deg,Moon_Speed,Mercury_Deg,Mercury_Speed,Venus_Deg,Venus_Speed,Mars_Deg,Mars_Speed,Jupiter_Deg,Jupiter_Speed,Saturn_Deg,Saturn_Speed,Uranus_Deg,Uranus_Speed,Neptune_Deg,Neptune_Speed,Pluto_Deg,Pluto_Speed,True_Node_Deg,True_Node_Speed,Lilith_Deg,Lilith_Speed,Ketu_Deg,Ketu_Speed
2009-06-26,13.92,Rahu,Rahu,1.5,5,10,15,0,0,0,0,71.026,0.954,122.537,14.4573,52.516,1.6702,26.48,1.0619,24.859,0.7227,302.823,-0.0358,142.285,0.0652,332.619,0.0039,302.275,-0.0144,247.91,-0.0258,276.388,0.0194,268.02,-0.024,96.388,0
2009-06-29,14.05,Rahu,Rahu,1.5,8,13,18,0,0,0,0,73.888,0.9535,164.158,13.2942,57.754,1.8201,29.681,1.0721,27.022,0.7192,302.702,-0.0451,142.486,0.0693,332.627,0.0014,302.23,-0.0157,247.833,-0.0256,276.439,0.0024,267.925,-0.0388,96.439,0
2009-06-30,13.97,Rahu,Rahu,1.5,9,14,19,0,0,0,0,74.841,0.9534,177.277,12.9508,59.598,1.8671,30.755,1.0754,27.741,0.718,302.655,-0.0482,142.556,0.0706,332.628,0.0006,302.214,-0.0161,247.808,-0.0256,276.43,-0.0204,267.884,-0.0435,96.43,0
2009-07-01,13.98,Rahu,Rahu,1.5,10,15,20,0,0,0,1,75.794,0.9533,190.075,12.6533,61.488,1.9121,31.832,1.0786,28.458,0.7168,302.605,-0.0512,142.627,0.0719,332.628,-0.0002,302.198,-0.0166,247.782,-0.0255,276.401,-0.0364,267.838,-0.0481,96.401,0
2009-07-02,13.42,Rahu,Rahu,4.0,11,16,21,0,0,0,1,76.748,0.9532,202.6,12.4044,63.421,1.9545,32.912,1.0817,29.174,0.7156,302.552,-0.0542,142.7,0.0732,332.628,-0.001,302.181,-0.017,247.757,-0.0254,276.362,-0.0401,267.788,-0.0524,96.362,0
2009-07-06,13.28,Rahu,Rahu,1.5,15,19,25,0,0,0,0,80.56,0.953,250.887,11.8466,71.531,2.0905,37.263,1.0936,32.027,0.7109,302.312,-0.0659,143.003,0.0783,332.617,-0.0042,302.11,-0.0186,247.656,-0.025,276.204,-0.0309,267.548,-0.0671,96.204,0
2009-07-07,12.94,Rahu,Rahu,1.5,16,20,26,0,0,0,0,81.513,0.9531,262.708,11.8024,73.634,2.114,38.358,1.0964,32.738,0.7097,302.245,-0.0688,143.082,0.0795,332.613,-0.005,302.091,-0.0189,247.631,-0.0248,276.181,-0.0151,267.479,-0.0699,96.181,0
2009-07-08,12.95,Rahu,Rahu,4.0,17,21,27,0,0,0,0,82.466,0.9531,274.504,11.7954,75.758,2.1327,39.456,1.0992,33.447,0.7086,302.174,-0.0716,143.162,0.0807,332.607,-0.0058,302.072,-0.0193,247.606,-0.0247,276.173,-0.0015,267.408,-0.0723,96.173,0
2009-07-09,13.08,Rahu,Rahu,1.5,17,22,1,0,0,0,0,83.419,0.9532,286.312,11.829,77.898,2.1465,40.556,1.1019,34.155,0.7074,302.101,-0.0744,143.243,0.0819,332.601,-0.0065,302.052,-0.0197,247.582,-0.0246,276.176,0.0066,267.335,-0.0744,96.176,0
2009-07-10,12.99,Rahu,Rahu,1.5,18,23,2,0,0,0,0,84.372,0.9532,298.177,11.908,80.049,2.1552,41.659,1.1046,34.862,0.7062,302.026,-0.0771,143.326,0.0831,332.594,-0.0073,302.032,-0.0201,247.557,-0.0244,276.186,0.0127,267.259,-0.076,96.186,0
